rollno,name,fname,course,city,dob,s1,s2,s3,s4,s5
1,Hamza,Asif,AI,,1951-09-22,89,99,59,99,62
2,Hamza,Junaid,DS,LHR,1989-03-17,92,6,97,74,10
3,Junaid,Asif,Blockchain,KHI,1964-05-02,49,37,43,98,24
4,Asif,Asif,DS,,1993-06-14,98,32,52,37,45
5,Asif,Ali,AI,ISL,1982-03-07,72,33,7,35,78
6,Junaid,Junaid,ML,ISL,1969-04-23,8,84,84,24,42
7,Asif,Ali,Blockchain,,1996-10-27,46,71,79,43,42
8,Hamza,Junaid,AI,,1960-08-27,24,96,12,15,66
9,Ali,Asif,AI,LHR,1953-10-02,20,63,7,90,83
10,Hamza,Asif,ML,ISL,1952-09-25,10,85,48,43,2
11,Ali,Asif,DS,LHR,1979-02-07,58,36,1,46,77
12,Asif,Ali,Blockchain,,1998-01-17,28,79,73,62,80
13,Ali,Ali,DS,LHR,1967-09-07,95,80,82,80,91
14,Junaid,Ali,DS,KHI,2011-07-14,82,37,39,73,51
15,Hamza,Ali,ML,,2008-03-24,4,85,16,43,11
16,Hamza,Hamza,AI,,2007-06-26,67,80,25,81,1
17,Junaid,Junaid,DS,ISL,1971-06-19,93,13,2,66,95
18,Ali,Asif,AI,ISL,2002-05-09,45,27,43,62,7
19,Hamza,Junaid,DS,,1963-08-28,92,83,13,91,40
20,Ali,Hamza,Blockchain,ISL,1996-05-09,18,79,77,19,22
21,Hamza,Hamza,DS,,1969-03-13,29,48,40,25,70
22,Junaid,Junaid,ML,,2011-06-11,58,48,35,22,84
23,Asif,Junaid,DS,KHI,2001-08-23,44,99,19,36,75
24,Ali,Junaid,AI,ISL,1994-09-12,58,84,32,54,80
25,Asif,Junaid,ML,,2009-09-22,72,83,77,37,24
26,Ali,Ali,ML,ISL,1956-02-12,22,16,1,65,36
27,Junaid,Hamza,Blockchain,KHI,1991-04-21,87,12,19,5,24
28,Junaid,Asif,Blockchain,,1980-02-16,93,4,64,92,36
29,Ali,Junaid,Blockchain,ISL,1964-10-13,33,99,11,44,54
30,Asif,Hamza,ML,LHR,2003-11-12,73,3,48,80,13
